tweet_bersih,label_sentimen,label_prediksi
heboh kerja anak sekolah offline,1,positif
antuk sekolah offline,-1,negatif
sekolah offline kh,0,netral
sumpah sekolah offline sanguu,1,positif
offline class kayak sekolah enak anjr obrol saya istirahat ajar pulang obrol teman duduk jauh kayak orang budek obrol dah offline,-1,negatif
sekolah offline,0,netral
aii seru sekolah offline,1,positif
enak sekolah offline kemarin pas saya ngambilin raport adik flashback sekolah seru banget woeeeee sempat,1,positif
heran lihat anak sekolah sekolah pakai masker keluyur sekolah offline anggap wkwk covid selesai salah ikut prokes sementang atur longgar,-1,positif
saya sekolah offline daring ahhhhh,0,netral
sumpah pas sekolah offline tumpuk woi tugas,-1,negatif
daring study offline exam hebat banget sekolah saya,0,netral
kasih daring offline siang malam sekolah meninggoy,0,netral
kak sekolah offline,1,positif
reply sekolah offline,1,positif
jujur capek banget sekolah offline,-1,negatif
pas sekolah offline kantin te jus ke,1,positif
kelas sekolah offline kah,0,netral
sekolah kah daring offline,0,netral
kayak indonesia normal wacana sekolah sore suka syukur banget suka giat daring alias lulus coy deg degan saya sidang skripsi offline,-1,negatif
saya semangat sekolah offline mnyesal,-1,positif
sekolah offline anjing,-1,negatif
anjing sekolah offline capek banget,-1,negatif
kuliahsekolah offline ajar nyala lampur kamar,0,netral
offline kayak buang buang ku pakai tugas sekolah guru masuk materi gkpp guru kasih tugas doang kadang guru jam mata ajar beliau pakai bahas tatib,-1,negatif
pagi makjii sekolah offline,1,positif
jujur iya anjing sekolah ku offline daring,0,netral
dak jujur enak anjing sekolah offline,-1,negatif
beli permen birutdi bingung beli permen biru bubblegum permen biru favku sekolah offline allah kangen jajan sekolah,1,positif
sekolah offline,0,netral
sch sekolah sender harlah offline sayang unggah foto tt,1,positif
diijinin sekolah offline alas kenapaaa,0,netral
benar sekolah sumber sebar sakit yasejak sekolah offline anak kena batpilpdhl ganti dokter gara batpil,-1,negatif
saya offline betah capek bolak sekolah capek rumah,1,positif
gess lepas aktif tepat sekolah offline asramaahayyyy yaaahh translate jametnya,1,positif
gess lepas aktif tepat sekolah offline asramaahayyyy yaaahh translate jametnya,1,positif
bangun pagi pergi kamar adik sekolah offline pergi rumah tante duo monyet rumah teman pagi bosan ganggu ganggu mama kebun marah,1,positif
beli sekolah offline baterai boros banget,1,positif
kurang sekolah offline sakit pinggang cug capek duduk melulu,-1,negatif
gess lepas aktif tepat sekolah offline asramaahayyyy yaaahh translate jametnya,1,positif
askrl spill outer bagus seragam sekolah offline,1,positif
sekolah offline istirahat sebentar banget bekal saya habis bawaa,-1,negatif
cimory sekolah offline pulang,0,netral
saya sekolah daring saya offline berani sumpah daring saya kayak takut sosial saya diri ubah erti,1,positif
lulus c word sekolah offline,1,positif
malas gerak banget anjing sekolah offline,-1,negatif
adik saya sekolah offline saya rumah kuliah nanti sore asa anggur anjing,-1,negatif
daring sekolah daring ptm ajar tatap muka offline kamu kuliah kh liar,0,netral
saya banget sekolahmana kelas saya ganti wifi sekolah sad banget buka galeri atauga main game offline,-1,negatif
sekolah offline jam gerah banget anjing nyala ac,-1,negatif
sekolah offline asa latih militer,-1,positif
sekolah offline bawaanya panic attack bagus daring tenang,-1,negatif
iya nder kynya sekolah offline,1,positif
jujur pas saya potong corona daring enak daring enak offline benar rasa banget sekolah kenang deh saya anjing rasa agit,1,positif
masuk sekolah offline,1,positif
iya kak expo universitas bimbel jadwal sekolah expo offline sekolah join zoom,0,netral
dua daring ringan materi kepala cari materi ajar offline berat materi masuk otak capek pulang sekolah muka pucet,0,netral
sekolah daring offline,0,netral
untung daring offline korban bullyan fan mu sekolah,-1,negatif
hai moots sekolahkuliah offline kampus praktikum,0,netral
sekolah offline,0,netral
sekolah offline jam berangkat jam bangunlagi bisa bangun jam tidur lagihadeh tolol banget dhuntung lambat,-1,negatif
malas banget sekolah offline,-1,negatif
christyjkt sekolah offline tinggal bus sekolah,0,netral
nggasoalnya jawalnya sekolah offline,1,positif
pagi semuaaaku sekolah offline todaykalian gmndaringoffline,0,netral
kesini malas sekolah offline anjing,-1,negatif
saya sekolah offline,1,positif
sekolah offline,0,netral
fr sekolah saya banget anyink dibotakin lebih baik offline,1,positif
sekolah offline daring adab,1,netral
dengar sekolah offline langsung tenang hati,-1,negatif
oi sekolah offline yyy wkwk,1,positif
sekolah but offline,0,positif
close siangg sekolah offline,-1,negatif
offline semangat sekolah offline,1,positif
campur kayak sekolah minggu kali offline sesuai jadwal campur daring mata ajar rasa juru kayak pkn sunda offline fokus mata ajar kayak matematika mata ajar juru,1,positif
jadwal bestie sekolah offline asyik,1,positif
kapann sekolah offline,1,positif
gilir daring offline pas offline daring sekolah yuk yuk,0,netral
sekolah offline,0,netral
sekolah offline day jam kosong,1,positif
tanyarl risih teman bicara konteks sekolah adakan giat giat beda murid pilih acara wajib offline sekolah daring,0,netral
sekolah daring offline by the way sarap,0,netral
sekolah daring offline by the way sarap,0,netral
sekolah offline tugas video another level of pain,-1,negatif
sekolah offline daring,0,netral
sekolah offline daring,0,netral
banget anjing nolep gpunya teman seko sekolah offline pusing banget jujur,-1,negatif
semangat guru letak hadir murid sekolah sehapalagi semenjak pandemi paksa sekolah daring perlahan offline semangat ajar langsung lipat ganda ku,1,positif
sekolah offline daring,0,netral
sekolah offline seru bayangkann,-1,positif
moga sekolah offline,1,positif
hlow sekolah offline semangat,1,positif
offline daring sekolah e nanti saya bantu alas tau offline,0,netral
p the sekolah offline,0,netral
sekolah offline aaaaaa kali kelas tertawa pamer,1,positif
agree jujur sekolah offline enak saya,-1,negatif
sekolah daring offline,0,netral
sekolah offline sakit jdinya daring,-1,negatif
eh sekolah offline jam,0,netral
kamu sekolah offline daring,0,netral
sekolah offline tarik oh,-1,negatif
semangat ptm sekolah offline sesi siang,1,positif
mootssss sekolah daring offline,0,netral
sekolah offline,0,netral
sekolah offline panas,-1,negatif
oh besok sekolah offline semangat sekolah,1,positif
sekolah offline guru moga jam kosong wkwk,1,positif
bangun sekolah offline,-1,positif
tanggal desember bangtan konser offline saya sekolah offline tai,-1,negatif
sekolah daring offline,0,netral
morningdari sekolah offline,1,positif
dyaz sarap sekolah offline have a nice day too dyaz,1,positif
sekolah offline kah,0,netral
class meet offline po korban lomba po lomba class meet sekolah ku sekolah iya sayang,0,netral
kali sekolah offline,1,positif
sekolah daring offline by the way sarap,0,netral
lxyc sekolah daring offline by the way sarap,0,netral
sekolah daring offline by the way sarap,0,netral
sekolah daring offline by the way sarap,0,netral
pagiii sekolah offline semangat,1,positif
sekolah daring offline by the way sarap,0,netral
sekolah daring offline by the way sarap,0,netral
mndhs kesekolahh kim sekolah offline daring paman,0,netral
haloo rinn aksksusjsns allah kabarnyaaa dhh sarap lummm sekolah daring offline kuliah kerja apa semangat rinnn,0,netral
rina hyonk kamu sekolah offline,0,netral
malas sekolah offline kayak orang,-1,negatif
semangat banget sekolah offline,1,positif
sekolah offline daring,0,netral
anjing besok sekolah offline,-1,negatif
sch malas banget senin sekolah offline,-1,negatif
semangat sekolah offline adik,1,positif
ajar jarak jauh semangat sekolah offline,1,positif
agy sekolah offline,1,positif
malas malesan lebih baik bdr dim rasa jenuh seru lebih baik sekolah offline,1,positif
aaaaa sekolah offline,1,positif
iya kuat nek sekolah offline,-1,negatif
sekolah offline pulang jam,0,netral
sekolah offline daring,0,netral
selamat pagi sekolah offline aduh,-1,negatif
offline sekolah siang,1,positif
punyaa jaman sekolah offline make lagu alarm,1,positif
sekolah offline guru ganteng tukang ayam bakar,1,positif
pagiii semangat sekolah offline deg deg an,1,positif
iya saya sekolah offline,1,positif
pagiiii sekolah offline degan banget plisss,-1,negatif
aw sekolah offline,1,positif
pagi moots sekolah offline semangat daring tidur,1,positif
unty morining kak fen sekolah offline,1,positif
pagiii sekolah offline semangat,1,positif
sekolah offline kak pulang jam les jam wahwah,-1,negatif
semangat sekolah offline,1,positif
first time sekolah offline jujur asyik kakel,1,positif
sekolah daring ingin offline pas kasih offline malas malesan dasar,-1,negatif
iya saya minggu les sekolah offline isi,0,netral
beli sekolah offline,1,positif
sekolah offline,0,netral
sekolah offline batal saya capek banget anjing offline ngabisin bensin kuota,-1,negatif
pagi moots by the way sekolah offline daring semangat,1,netral
struggle kira daring offline enak bangun jam tau berangkat sekolah wkwk balik imbang,0,netral
sekolah offline,0,netral
good pagi sekolah kelas offline kenal kelas pain,1,positif
sekolah offline,0,netral
sekolah offline,0,netral
sekolah offline,0,netral
yusuf mansyur too sekolah offline pts saya,1,positif
sekolah offline,0,netral
sekolah offline,0,netral
ih teman teman sekolah offline keren,1,positif
sekolah offline,0,netral
adik jiwa malesnya sekolah offline hiks paksa lawan main fisik,-1,negatif
sekolah offline,0,netral
malas malesan sekolah offline,-1,negatif
pagi teman sekolah offline,1,positif
good pagi moots sekolah offline hdue pusing gara gara bawa flu by the way lupa makan,-1,positif
iya allah lupa jam offline mau apa sekolah ku rumah oke mandi,0,netral
selamat saya sekolah offline doa iya moga guru tagih tugas,-1,negatif
wish me luck sekolah offline saya kenal,-1,negatif
oh adik saya jaksel sekolah offline,1,positif
huaa moga cepat sekolah offline,1,positif
syukur sekolah offline,1,positif
schdkfks sekolah offline,1,positif
sch kangen sekolah offline sesi sesi an trivia rumus harga imbang pasar qdqs,1,positif
sch teman teman pas sekolah offline hilang barang sharing dong trivia stratifikasi bagi stratifikasi buka tutup campur,0,netral
sekolah offline,0,netral
anjing masuk minggu sekolah offline,-1,negatif
adik sekolah offline owowoow takut sekolah offline handphone ku selesai,-1,negatif
unty pagi sekolah offline,1,positif
sekolah offline and do know pren saya lupa make dasi ueueue,-1,negatif
salamat pagisemangat sekolah offlineyang semangat,1,positif
masuk sekolah offline hiksssrothh malas,-1,negatif
malas gerak banget sekolah offline,-1,negatif
sekolah offline daring,0,netral
sekolah offline lupaa sarap,1,positif
sekolah offline daring,0,netral
ow hore sekolah offline,1,positif
sekolah offline hore,1,positif
sumpah saya malas sekolah offline,-1,negatif
sekolah offline,0,netral
antuk sekolah offline,-1,negatif
sekolah offline,0,netral
sekolah offline adik adik,1,positif
saya sekolah offline taejin live semangat,1,positif
pagi selamat saya on the way sekolah offline hufttt,-1,negatif
ah shitt sesal banget sekolah offline enak sekolah daring,-1,negatif
aduh sekolah offline,-1,negatif
bye bestie sekolah offline,1,positif
tidak sekolah offline pagi,-1,negatif
sch sekolah offline jadwal ajar ganti ganti diumumin jadwal baru h harijam,0,netral
uh rumah biasa interaksi orang keluarga rumah moga sekolah offline buruk takut banget tolong,-1,negatif
tidurrr perkara saya sekolah offline tugas ekonomi tuntassss syalann battttt,-1,negatif
sekolah daring offline,0,netral
enak sekolah offline meeting daring,1,positif
saya selesai jam deh pagi saya sekolah offline,-1,negatif
sekolah offline,0,netral
class i sekolah offline but i grup a sok this week study je kot,-1,negatif
besok sekolah offline saya henti salah tingkah crush saya kelas besok ajak obrol bicara tertawa,1,positif
pas sekolah offline tidur,0,netral
besok sekolah offline gabiss tidur,0,positif
tidur saya oh saya habis minum kopi besok sekolah offline siang lucu,-1,negatif
sekolah offline jam tidur ku langsung rapi banget,1,positif
besok masuk sekolah offline moga pulang sekolah pas buka twitter langsung selamat amin,1,positif
hai habis gratis sms kabar jumpa maksud apa heran bicara gratis sms gacukup hari gratis telpon jam sekolah offline,0,netral
lihat jadwal sekolah offline senin pulang jam siang aaaaa,-1,negatif
sekolah offline butuh,0,netral
malas sekolah offline iya,-1,negatif
jarang pakai gerak cepat offline kumpul sekolah,1,positif
besok sekolah offline seragam saya ember alias air rendam,0,netral
pakai google classroom nder alias sekolah full offline,1,positif
h sekolah offline,0,netral
bayang sekolah offline nasib fan mu sekolah besok senin,-1,negatif
besok sekolah offline kumpul lanjur pagi,-1,positif
habis sekolah offline jujur saya benar pakai sesi an saya mental minggu,-1,negatif
besok saya sekolah offline malas,-1,negatif
besok saya sekolah offline malas gerak banget,-1,negatif
omgg besok sekolah offline,-1,positif
lebih baik tidur besok pagi sekolah offline antuk antuk kelas,-1,positif
sekolah offline vaksin here we go,-1,negatif
ra bayangke dadi rafi rabbanisesok sekolah offline andang ece koncone,1,positif
tidur besok sekolah offline,1,positif
sadar besok saya sekolah offline aaaa,-1,negatif
tanyarl besok sekolah offline huhu mandi pagi sender besok apalan kimia,-1,negatif
besok saya sekolah offline,1,positif
sumpah sekolah offline stres,-1,negatif
fisika fuck banget erti guru masuk minggu ngejelasinnya detail eh kasih ulang anjing sekolah offline kit heart kali nilai rendah,-1,negatif
eh laaahh malas banget sekolah offline saya semangat,-1,negatif
oh iya besok sekolah offline teel sepi banget,1,positif
sekolah offline,0,netral
jam gin degdegan ngehadapin senin besok pikir pikir sekolah daring santai mandi mandi sarap tinggal dapur bawa kamar jam potong pas jaman offline,-1,negatif
guru gjls jadwal jam gin besok sekolah offline,-1,negatif
umm teman besok pertama sekolah offline murid belum teman cheer me up takut banget teman,-1,negatif
arus gede banget busett heran bakar kabel parallel tengah hilang coba untung coba offline hangus sekolah,0,netral
kerja daring minor kelas offline kerja offline langsung bentrok sekolah tugas les,0,netral
malam saya coba ambil tidur pas pagi langsung sekolah offline,-1,negatif
members kak besok sekolah offline,-1,positif
pas sekolah offline,1,positif
lucu banget lihat anak remaja exciting besok sekolah offline,1,positif
wkwkkwkwwk nolep banget saya sekolah offline,1,positif
sekolah anya lucu banget offline bulan,1,positif
miskin sekolah offline uang jajan wkwk,-1,positif
sekolah offline malas bangun pagi,-1,negatif
besok sekolah daring offline,0,netral
besok sekolah offline,-1,positif
ngespace yuk eh besok sekolah offline sekolah offline wkwk,-1,positif
besok sekolah offline foto ijazah deh jadwal foto ijazah pagi muka ubah ladang minyak,1,positif
tidur besok sekolah offline,1,positif
besok adik sekolah offline,1,positif
hai besok sekolah offline daring,0,netral
besok sekolah offline mules rn,1,positif
pas offline bangun tidur ku mandi daring bangun tidur langsung sekolah,0,netral
ngedudel besok stres sekolah offline deadline commission,-1,negatif
pagi bantu masak tahlil mama ayah siang zoom angkat jemur sapu ngepel sore pergi nobat pas pulang tonton bareng bantu beres beres rumah nenek besok pagi cuci baju gunung adik besok sekolah offline,1,positif
official besok sekolah offline,1,positif
via cerita iya iya cepat dahlahhh ah gaseru anjing lambat bingung curhat nct kayak enakkkk pas sekolah offline cerita sambung chairmate mianhae via,1,positif
besok sekolah offline,1,positif
semangat fayy besok sekolah offline kyu titip salam kangen,1,positif
sekolah offline paling capek punggung capek pikir layar capek olahraga pacar antuk kayak bangun kasur tenaga mata berat banget tidur,-1,negatif
besok sekolah offline,1,positif
malas banget besok saya sekolah offline,-1,negatif
by the way besok sekolah offline,1,netral
pas sekolah ke minggu subsidi uang jajan sekolah ke tertawa kuliah offline bulan moga pas offline subsidi uang jajan minggu ke kuota ke,0,netral
tertawa minggu kemarin offline plus sabtu ekskul capek banget lupa sekolah offline,-1,negatif
besok gilir saya sekolah offline tugas minggu selesai saya ngantukann point nomor,0,negatif
kangen sekolah offline kayak sakit tryout akbar sekolah tertawa,1,positif
besok sekolah offline,1,positif
sekolah offline selang seling,0,netral
sekolah offline,0,netral
sekolah kuliah offline,0,netral
anjing besok sekolah offline ajggg,-1,negatif
saya besok sekolah daring dar minggu doang saya offline,0,netral
saya tidur duluaan moots besok sekolah offline bangun pagi good night mootss,1,positif
sp besok sekolah offline cung,1,positif
alhamdulillah semenjak sekolah offline rumah scroll lini tertawa,1,positif
maksud sekolah rumah sekolahttp offline nomer daring masuk kuping kanan kuping kiri blmmm foto amuro pakai baju kid anime manga dc rilis volume,1,positif
beli daring streaming mulai jumat jam jam jam sekolah sekolah kena jadwal offline hadu,-1,negatif
prefer sekolah daring offline,0,netral
sekolah daring offline enak acara,0,netral
besok saya sekolah offline,1,positif
aduh offline malas gerak banget saya besok sekolah ih,-1,negatif
iya sekolah offline,1,positif
sekolah offline bestie daring,0,netral
suka sekolah offline daring,0,netral
sekolah offline ulang daring,1,positif
harap sekolah offline semangat ajar malak duit orang tua,1,positif
capek banget buset sekolahkuliah offline ketemu terbit benam matahari,-1,negatif
besok offline kayak sekolah ku lambat offline besok tertawa,1,positif
wkwkwkwkwkwk saya minggu kali only sekolah minggu hari ganti gkpp syukur offline,1,positif
konteks sekolah offline,1,positif
sekolah offline php,1,positif
bagus deh iyaanie sekolah ku offline tugas cecer aosksjsjshsh,-1,negatif
besokk sekolah offline daring bestiee,0,netral
besok jadwal sekolah offline,-1,negatif
besok sekolah daring offline,0,netral
sekolah offline aku nyaman sekolah daring,-1,netral
nder novdes daring sekolah ku murid offline,1,positif
sekolah offline anjing,-1,negatif
no offense efek anak sekolah offline taat prokes srba salah orang tua enak anak sekolah seko anak buka masker colek ingus,-1,positif
sering sekolah daring besok sekolah offline,1,positif
run run besok senin by the way sekolah offline,0,netral
besok senin sekolah offline huaaa,-1,negatif
staf bebudak cuti sem lepas spm sok member sekolah orang kerap sok serve ramah muncul soal manajer gay mintak top up juragan cakap offline,0,netral
capek sekolah offline,-1,negatif
bingung sekolah offline enak paham materi dijelasin langsung daring ajar duduk rebah gaya apa oncam,1,positif
twit hai kak yoon badmood banget gara tugas sekolah susah ampun malas sekolah tugas kerjain suka pikir malas sekolah offline masuk sekolah tengah juru,-1,negatif
suka sekolah daring offline,0,netral
aeh offline live stream time sekolah weh,0,netral
besok sekolah offline tolong akdgsksgsjs,-1,positif
besok sekolah offline diliburin,1,positif
besok sekolah offline,1,positif
allah besok sekolah offline,-1,positif
besok sekolah offline,1,positif
ih samakk sekolah offline gupek takut lupa,-1,negatif
woi besok sekolah offline anjing,-1,negatif
malas sekolah offline ketemu teman,-1,negatif
weyy sekolah offline shiftan saya ngehapus materiebook foto ajar handphone,1,positif
coronces nder daring murid atur kayak sekolah offline deh hasil,0,netral
aaaa besok gilir saya sekolah offline,-1,negatif
keren sekolah hybrid daring offline ajar efektif,-1,negatif
bes masuk sekolah offline rambut warnain marah kaget pas masuk guru marah suruh ganti warna hitam,1,positif
wkwk besok saya sekolah offline,1,positif
alhamdulillah semenjak sekolah offline kuota sedia,1,positif
gueee besok sekolah offline malas,-1,negatif
besok sekolah offline,1,positif
twit jimin takut banget sekolah offline besok,-1,negatif
nggaaa besok sekolah wawancara offline terima kasih lt,1,positif
anak sekolah offline,1,positif
iya anjing saya sekolah offline,-1,negatif
besok sekolah offline daring,0,netral
besok sekolah offline anjing,-1,negatif
sekolah offline ulang daring,0,positif
senin besok sekolah offline,0,positif
pagi sekolah offline sore lanjut daring,-1,negatif
sekolahoffline sekolah offline,1,positif
gara izin offline moga sekolah saya offline sem,1,positif
besok senin saya sekolah offline,-1,negatif
aaaaaaargh pas empat ptd on stage sekolah offline,-1,negatif
moga lekas sembuh inten offline sekolah offline,-1,negatif
bts untung besok saya offline offline saya sekolah linglung,-1,negatif
ponakan saya masuk sekolah offline oh my god,1,positif
waaaa besok sekolah offline,1,positif
saya rasa sekolah offline,0,netral
senang streaming offline konser sekolah hai ampun menang,-1,negatif
sekolah offline tugas saya numpukkkkkkkkkkkkkkk,-1,negatif
saya senang banget besok sekolah offline wkwk kali kelas masuk kelas misah,1,positif
besok sekolah offline sial,-1,negatif
allahaku sekolah offline pas ajar matematika,-1,negatif
semangattt chryss enak kokk sekolah offline,1,positif
suka ajar suka nyatat suka interaksi guru pas sekolah offline ahli khusus nder skill dangkal general banget menurt kuliah spya temu spesialisasi bidang cocok,1,positif
besok sekolah offline daring,0,netral
besok sekolah roster kimia pku pjok anjayyy saya karya apa pku besok saya sekolah offline saya lanjur nyaman sekolah daring,-1,negatif
kali tugas offline sekolah minggu abadi,0,netral
full sekolah offline by the way malam,-1,netral
besok senin hwaaa besok sekolah offline tugas upacara sekolah offline daring besok,0,netral
hai kak izin lomba daring sertifikat pakai kak bantu snm lomba offline lomba sekolah,0,netral
besok sekolah offline,1,positif
besok sekolah offline,1,positif
besok sekolah offline,1,positif
zaman handphone mahal jaring lambat buka google warung internet saya sekolah offline jam jam saya pulang sekolah warung internet alas saya lucu tonton televisi baca koran majalah buku buka google,1,positif
besok sekolah offline,1,positif
besok sekolah offline hufttt dunia kejam,-1,positif
tas ransel sekolah offline,0,netral
pas sekolah offline kadang suka kasihan gara gara suka hotspot,0,netral
besok sekolah daring offline,0,netral
sekolah offline kali minggu kali minggu ikhlas hati,1,positif
besok sekolah offline,1,positif
sekolah offline cok,-1,positif
kayak sekolah saya offline gagal melulu anjing astagfirullah,-1,negatif
besok sekolah offline,1,positif
bosan pas offline an sekolah minggu bosan nge twit,-1,negatif
besok sekolah offline,1,positif
eh aduh besok sekolah offline,-1,negatif
ice sekolah offline nugas siang siang kelar sore malam tidur cepat jam tidur,1,positif
masuk buku hs mabuk bolos mata ajar sekolah offline,-1,negatif
besok sekolah offline lubuk hati malas banget heyyeheje soalnyaaaa beda sesi teman deketku takut anak pendiem dighibahin alea anak cupu banget,-1,negatif
sekolah offline istirahat,0,netral
pasang mahasiswa sekolah offline saya ingat jagaa mahasiswa jatah katingborgol ilanggg ikhlas tinggal wkwk overthinking guysss,1,positif
sekolah daring offline anjing tugas,-1,negatif
hati hati mahasiswa masuk kuliah sekolah offline kakak tingkat saing tahan tikung wkwk,1,positif
sibuk banget parah sekolah offline,-1,negatif
besok first day saya sekolah offline,-1,positif
saya takut sekolah offline help,-1,negatif
sekolah offline,0,netral
fess sekolah offline doang daring,1,netral
schapp wtp teman sender senin besok sekolah offline trivia hambat jenis kawat alami ubah suhu ubah hambat listrik alami ubah suhu ubah,1,positif
iya by the way senin pad sekolah offline kampus saya kemarin kayak sebal senin,-1,negatif
laku mingdep sekolah offlineya jadwal operasi ahwhwhwhwh,1,positif
besok senin besok senin sekolah offline aaaaak,-1,negatif
wkwk kak dyn jompo akibat sekolah offline mogu lucu banget kayak nama kucing tetangga ku,-1,positif
saya sekolah offline,1,positif
besok sekolah offline nihkalian daring offline,0,netral
oh my god besok sekolah offline,1,positif
saya sekolah offline anjing,-1,negatif
besok sekolah offline,1,positif
sekolah offline teman saya sg pacar saya pelukhassun,1,positif
mari lihat concert lupa sekolah offline besok,0,netral
saya sepatu sekolah besok sekolah offline,-1,positif
sekolah offline capek,-1,negatif
sekolah offline,0,netral
prefer sekolahkuliah daring offline sebut alas,0,netral
handphone saya ganti retak parah memori nampung pas banget sekolah offline tugas video uprak beli,0,netral
besok sekolah offline,1,positif
allah hamba sekolah offline engkau meng onlinekan sekolah hamba hamba mohon allah hamba capek hamba takut,-1,negatif
pose kayak abg sekolah offline ketemu tementemennya,1,positif
semangat sekolah offline,1,positif
tolong besok sekolah offline,-1,positif
hai gaiss maaf banget jarang aktif sekolah offline tugasny tambah diusahain aktif unfollow oke,-1,negatif
duit beli paket mandiri kasih uang saku kayak pas sekolah offline uang beli paket kumpul uang hasil uang saku seharihari,1,positif
sekolahkuliahnya offline daring,0,netral
besok sekolah offline yeahh,1,positif
sekolah offline daerah zona merah,-1,positif
offline minggu sekolah minggu daring oke oke semangaaaat,1,positif
besok senin saya sekolah offline,-1,negatif
ganba ucii sekolah offline sekian daring malas,-1,negatif
besok saya offline sekolah lupa allah,-1,negatif
sekolah offline daring,0,netral
besok sekolah offline kayak besok giat ajar ajar deh acara debat pilih organisasi siswa intrasekolah oh iya doa pilih anggota organisasi siswa intrasekolah,1,positif
besok sekolah offline uhuy sesi,1,positif
besok sekolah offline,1,positif
anak sekolah offline saya maish rumah jujur saya iri,1,positif
saya sarap langsung mules pas jaman zaman sekolah offline sakit perut,0,netral
sekolah offline pas on,1,positif
murid tes pacar random orang tentu sekolah offline tolong moga negatif rindu uang jajan,1,positif
malas banget besok sekolah offline,-1,negatif
sekolah offline el,0,netral
tata sekolah offline,0,netral
santai rebah sekolah offline,0,netral
teman teman sekolah offline,1,positif
saya curhat saya sekolah offline saya bingung saya masuk this anxiety bothers me saya for your information orang tua saya saya anxiety saya konsultasi halo doc,1,positif
andai kayak sekolah offline kejar nilai iya kesan egois iya iya saya apa andai teman tertawa lucu banget dddd,0,netral
semangat sekolah offline,1,positif
puas baca au selagi sekolah daring offline baca au,-1,negatif
gara gara sekolah offline up,1,positif
sekolah daring offline,0,netral
sekolah offline tugas cecer anjing,-1,negatif
aaa akun uruss sibuk sekolah offline akutuu rumah langsung tidurr skskksjs,-1,negatif
anjing konteks sekolah offline serta kenang,-1,negatif
sekolah daring capek mental sekolah offline capek fisik dahla rumput,-1,negatif
kayak sekolah offline bullying gara gara bocah cilik tonton tokrev,-1,positif
christyjkt pikir sesuatukarena rabu ulang matematikadan sekolah offlinejadi pikir strategi googlehehehe canda canda,1,positif
semenjak saya sekolah offline asa minggu cepat banget dha minggu,0,positif
saya benar deh banget sontek sekolah offline enak anjing sontek,1,positif
sekolah offline,0,netral
kangen musim hujan pas corona musim hujan pas sekolah offline,1,positif
offline besok pas sekolah takut teman teman saya pergi geng baru tertawa,-1,negatif
besok beli handphone saya sekolah offline iwww panas banget saya gambar sekolah offline,0,netral
please banget sekolah ku offline batas,1,positif
sringg sekolah offline daring gapapaa,1,positif
sekolah offline kisar an ngemall,1,positif
sekolah sekolah offline,1,positif
orang orang senang sekolah offline saya gemetar tidur wkwk,1,positif
sekolah offline kadang jam bangun,1,positif
malas sekolah offline kejar kereta doang,-1,negatif
saya ggr tanggung kayak tugas sekolah club etc pas buka genshin bawa capek daily commis puas puas main sekolah offline,-1,negatif
you kayak pas sekolah offline semenjak daring school dikasihtau rankingnya sjdjdjsjjds,0,netral
senang kak minji sehat wkwk kemarin menang benar senang minggu sekolah offline duit ku belikan pc kevin kayak aduh kayak bahagia banget besok libur kayak senang,1,positif
semenjak sekolah offline jam tudur saya kayak jam gin mata berat banget saya begadang oi baca au malam,-1,negatif
pakai masker plisss sekolahkuliah ayo offline sedih daring muluuk gara gara covid selesai offline anjri,1,positif
sekolah offline full seninjumat jam guna orang aneh episode nctzen,1,positif
salat doa ku satu kabul mual sekolah offline cerdas otak akademik non akademik benar diturutin doa pas salat subuh pas jam tugas,1,positif
alhamdulillah kak semenjak sekolah offline susah main twit hikss,-1,negatif
kuliah cirebon offline kuliah pamit sekolah kelas tautau kuliah tertawa,0,netral
senin offline beli sepatu sekolah,1,positif
sekolah offline,0,netral
sekolah offline gendut,1,positif
allah weekendgue sekolah offline,-1,negatif
semangat sekolah offline gara gara crush wkwkwwkwk minderrr,1,positif
assalamualaikum murid murid kelas offline guru urus kat sekolah,1,positif
kak ell sekolah offline kah minggu saya sekolah offline,0,netral
sekolah offline capek banget,-1,negatif
sekolah offline sibuk,-1,negatif
gelisah selasa rabu masuk sekolah offline hafal dihafalin,-1,negatif
aaaaa kak rani sekolah offline,0,netral
min suka sekolah offline,1,positif
gara gara libur sekolah offline minggu gapengen sekolah offline gxbsnanajsjjss nyaman rumah,-1,negatif
siapsiap sekolah offline mvs,1,positif
diijinin sekolah kemarin jumat pramuka offline sekolah offline,1,positif
umur banget enggak anak umur ku pas sekolah offline lihat teman dongak makan pandemi teman tahun ku,0,netral
sekolah offline pelajarann bocan rumah,-1,negatif
aaa kangen sekolah offline,1,positif
sekolah dasar padus pas sekolah offline kopit,1,positif
sekolah offline suka uji daring,1,positif
sekolah offline ulang daring,1,positif
sekolah offline,0,netral
jujur capek capek kayak asa gituuuu offline sekolah lanjur lulus offline,1,positif
suka sekolah offline daring,0,netral
senang lihat anak sekolah offline allah dunia normal,1,positif
adaptasi virus varian harap lepas masker kayak covid harap banget sekolahkuliah offline saya ngerasanya kayak bayar kuliah masuk materi,1,positif
tolong cptcpt sekolah offline tolong uang jajan double sisa ongkos kirim,1,positif
seninsabtu sender sekolah offline full lt,1,positif
jual pc beli kacamata ku sekolah offline papan tulis buram,0,netral
korea sekolah offline sekolah breng kayak izone realita show,0,netral
